1 178.66104494382026 111.011 319.3624
10 171.58620000000013 102.3628 403.6311
50 178.89885280898875 112.1001 373.5116
100 165.91164382022473 105.6009 341.5462
500 195.72077415730342 124.8468 386.2777
1000 183.58441348314605 137.7267 459.9949
2000 247.2279269662922 181.7766 453.2121
3000 285.2443797752809 207.8556 464.1303
4000 355.7106101123596 238.864 840.6797
5000 348.6418752808988 268.9391 594.4806
6000 446.99159438202275 314.9011 931.8052
7000 463.2039179775281 347.0067 748.7328
8000 496.59184269662904 364.9944 1185.474
9000 489.1366707865169 397.4502 836.8
10000 617.9163303370786 444.8878 1317.3862
