# gnuplot dump (#col:description)
# networking interface: enp0s25
# sampling interval (t): 1000 ms
# 1:unixtime 2:rx-bytes-per-t 3:rx-pkts-per-t 4:rx-drops-per-t 5:rx-errors-per-t 6:rx-bytes 7:rx-pkts 8:rx-drops 9:rx-errors 10:tx-bytes-per-t 11:tx-pkts-per-t 12:tx-drops-per-t 13:tx-errors-per-t 14:tx-bytes 15:tx-pkts 16:tx-drops 17:tx-errors 18:context-switches-per-t 19:mem-free 20:mem-used 21:mem-total 22:swap-free 23:swap-used 24:swap-total 25:procs-total 26:procs-in-run 27:procs-in-iow 28:cpu0-usr-per-t 29:cpu0-nice-per-t 30:cpu0-sys-per-t 31:cpu0-idle-per-t 32:cpu0-iow-per-t 33:cpu0-net-irqs-per-t 34:cpu0-net-irqs 35:cpu0-net-rx-soft-irqs-per-t 36:cpu0-net-rx-soft-irqs 37:cpu0-net-tx-soft-irqs-per-t 38:cpu0-net-tx-soft-irqs 39:cpu1-usr-per-t 40:cpu1-nice-per-t 41:cpu1-sys-per-t 42:cpu1-idle-per-t 43:cpu1-iow-per-t 44:cpu1-net-irqs-per-t 45:cpu1-net-irqs 46:cpu1-net-rx-soft-irqs-per-t 47:cpu1-net-rx-soft-irqs 48:cpu1-net-tx-soft-irqs-per-t 49:cpu1-net-tx-soft-irqs 50:cpu2-usr-per-t 51:cpu2-nice-per-t 52:cpu2-sys-per-t 53:cpu2-idle-per-t 54:cpu2-iow-per-t 55:cpu2-net-irqs-per-t 56:cpu2-net-irqs 57:cpu2-net-rx-soft-irqs-per-t 58:cpu2-net-rx-soft-irqs 59:cpu2-net-tx-soft-irqs-per-t 60:cpu2-net-tx-soft-irqs 61:cpu3-usr-per-t 62:cpu3-nice-per-t 63:cpu3-sys-per-t 64:cpu3-idle-per-t 65:cpu3-iow-per-t 66:cpu3-net-irqs-per-t 67:cpu3-net-irqs 68:cpu3-net-rx-soft-irqs-per-t 69:cpu3-net-rx-soft-irqs 70:cpu3-net-tx-soft-irqs-per-t 71:cpu3-net-tx-soft-irqs 
# data:
1576695589 180 2 0 0 87287082 383579 0 0 0 0 0 0 10265976 121428 0 0 386 2768528 1002232 3770760 3909628 11264 3920892 114 1 0 0 0 1 99 0 0 0 0 190 0 310 0 0 0 100 0 3 753547 3 757390 0 120347 0 0 0 99 1 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3978 0 2355 
1576695590 90 1 0 0 87287172 383580 0 0 90 1 0 0 10266066 121429 0 0 113 2768528 1002232 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 753549 2 757392 1 120348 1 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3978 0 2355 
1576695591 360 4 0 0 87287532 383584 0 0 0 0 0 0 10266066 121429 0 0 115 2768528 1002232 3770760 3909628 11264 3920892 114 1 0 0 0 0 99 0 0 0 0 190 0 310 0 0 0 100 0 5 753554 5 757397 0 120348 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3978 0 2355 
1576695592 405 3 0 0 87287937 383587 0 0 343 3 0 0 10266409 121432 0 0 288 2768464 1002296 3770760 3909628 11264 3920892 114 1 0 0 0 0 99 0 0 0 0 190 0 310 1 0 0 100 0 5 753559 5 757402 1 120349 0 0 0 99 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3978 0 2355 
1576695593 90 1 0 0 87288027 383588 0 0 0 0 0 0 10266409 121432 0 0 263 2768464 1002296 3770760 3909628 11264 3920892 114 1 0 0 0 0 99 0 0 0 0 190 0 310 0 0 0 100 0 2 753561 2 757404 0 120349 0 0 0 100 0 0 0 0 254 0 380 0 0 1 100 0 0 0 0 3978 0 2355 
1576695594 154 2 0 0 87288181 383590 0 0 0 0 0 0 10266409 121432 0 0 211 2768464 1002296 3770760 3909628 11264 3920892 114 1 0 0 0 0 99 0 0 0 0 190 0 310 0 0 0 100 0 2 753563 2 757406 0 120349 0 0 0 99 1 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3978 0 2355 
1576695595 82 1 0 0 87288263 383591 0 0 90 1 0 0 10266499 121433 0 0 282 2768464 1002296 3770760 3909628 11264 3920892 114 1 0 0 0 0 99 0 0 0 0 190 0 310 0 0 0 100 0 3 753566 3 757409 0 120349 0 0 0 99 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3978 0 2355 
1576695596 154 2 0 0 87288417 383593 0 0 90 1 0 0 10266589 121434 0 0 164 2768464 1002296 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 1 0 0 100 0 3 753569 3 757412 1 120350 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3978 0 2355 
1576695597 172 2 0 0 87288589 383595 0 0 90 1 0 0 10266679 121435 0 0 261 2768464 1002296 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 4 753573 4 757416 1 120351 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3978 0 2355 
1576695598 0 0 0 0 87288589 383595 0 0 0 0 0 0 10266679 121435 0 0 125 2768204 1002556 3770760 3909628 11264 3920892 115 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 753573 0 757416 0 120351 0 0 0 99 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3978 0 2355 
1576695599 90 1 0 0 87288679 383596 0 0 0 0 0 0 10266679 121435 0 0 175 2768212 1002548 3770760 3909628 11264 3920892 115 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 753575 2 757418 0 120351 0 0 0 100 1 0 0 0 254 0 380 0 0 1 100 0 0 0 0 3978 0 2355 
1576695600 90 1 0 0 87288769 383597 0 0 82 1 0 0 10266761 121436 0 0 108 2768212 1002548 3770760 3909628 11264 3920892 115 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 753577 2 757420 1 120352 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3978 0 2355 
1576695601 154 2 0 0 87288923 383599 0 0 0 0 0 0 10266761 121436 0 0 102 2768212 1002548 3770760 3909628 11264 3920892 115 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 101 0 3 753580 3 757423 0 120352 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3978 0 2355 
1576695602 502 3 0 0 87289425 383602 0 0 198 2 0 0 10266959 121438 0 0 310 2766416 1004344 3770760 3909628 11264 3920892 119 1 0 2 0 1 98 0 0 0 0 190 0 310 0 0 1 99 0 4 753584 4 757427 1 120353 0 0 0 99 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3978 0 2355 
1576695603 154 2 0 0 87289579 383604 0 0 64 1 0 0 10267023 121439 0 0 178 2765652 1005108 3770760 3909628 11264 3920892 120 1 0 2 0 0 98 0 0 0 0 190 0 310 0 0 0 100 0 4 753588 4 757431 0 120353 0 0 0 100 0 0 0 0 254 0 380 0 0 1 100 0 0 0 0 3978 0 2355 
