# gnuplot dump (#col:description)
# networking interface: enp0s25
# sampling interval (t): 1000 ms
# 1:unixtime 2:rx-bytes-per-t 3:rx-pkts-per-t 4:rx-drops-per-t 5:rx-errors-per-t 6:rx-bytes 7:rx-pkts 8:rx-drops 9:rx-errors 10:tx-bytes-per-t 11:tx-pkts-per-t 12:tx-drops-per-t 13:tx-errors-per-t 14:tx-bytes 15:tx-pkts 16:tx-drops 17:tx-errors 18:context-switches-per-t 19:mem-free 20:mem-used 21:mem-total 22:swap-free 23:swap-used 24:swap-total 25:procs-total 26:procs-in-run 27:procs-in-iow 28:cpu0-usr-per-t 29:cpu0-nice-per-t 30:cpu0-sys-per-t 31:cpu0-idle-per-t 32:cpu0-iow-per-t 33:cpu0-net-irqs-per-t 34:cpu0-net-irqs 35:cpu0-net-rx-soft-irqs-per-t 36:cpu0-net-rx-soft-irqs 37:cpu0-net-tx-soft-irqs-per-t 38:cpu0-net-tx-soft-irqs 39:cpu1-usr-per-t 40:cpu1-nice-per-t 41:cpu1-sys-per-t 42:cpu1-idle-per-t 43:cpu1-iow-per-t 44:cpu1-net-irqs-per-t 45:cpu1-net-irqs 46:cpu1-net-rx-soft-irqs-per-t 47:cpu1-net-rx-soft-irqs 48:cpu1-net-tx-soft-irqs-per-t 49:cpu1-net-tx-soft-irqs 50:cpu2-usr-per-t 51:cpu2-nice-per-t 52:cpu2-sys-per-t 53:cpu2-idle-per-t 54:cpu2-iow-per-t 55:cpu2-net-irqs-per-t 56:cpu2-net-irqs 57:cpu2-net-rx-soft-irqs-per-t 58:cpu2-net-rx-soft-irqs 59:cpu2-net-tx-soft-irqs-per-t 60:cpu2-net-tx-soft-irqs 61:cpu3-usr-per-t 62:cpu3-nice-per-t 63:cpu3-sys-per-t 64:cpu3-idle-per-t 65:cpu3-iow-per-t 66:cpu3-net-irqs-per-t 67:cpu3-net-irqs 68:cpu3-net-rx-soft-irqs-per-t 69:cpu3-net-rx-soft-irqs 70:cpu3-net-tx-soft-irqs-per-t 71:cpu3-net-tx-soft-irqs 
# data:
1576696414 180 2 0 0 87469143 385413 0 0 0 0 0 0 10284000 121644 0 0 396 2761244 1009516 3770760 3909628 11264 3920892 119 1 0 0 0 1 99 0 0 0 0 190 0 310 0 0 0 100 0 2 755940 2 759790 0 120551 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696415 405 3 0 0 87469548 385416 0 0 343 3 0 0 10284343 121647 0 0 255 2760968 1009792 3770760 3909628 11264 3920892 118 2 0 0 0 0 99 0 0 0 0 190 0 310 0 0 0 99 0 6 755946 6 759796 0 120551 0 0 0 99 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696416 180 2 0 0 87469728 385418 0 0 0 0 0 0 10284343 121647 0 0 358 2760716 1010044 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 755948 2 759798 1 120552 0 0 0 99 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3984 0 2359 
1576696417 64 1 0 0 87469792 385419 0 0 0 0 0 0 10284343 121647 0 0 332 2760716 1010044 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 1 100 0 2 755950 2 759800 0 120552 0 0 0 99 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
1576696418 0 0 0 0 87469792 385419 0 0 0 0 0 0 10284343 121647 0 0 345 2760716 1010044 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 755950 0 759800 0 120552 0 0 0 99 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3984 0 2359 
1576696419 180 2 0 0 87469972 385421 0 0 0 0 0 0 10284343 121647 0 0 346 2760716 1010044 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 1 0 0 100 0 3 755953 3 759803 0 120552 0 0 0 100 1 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3984 0 2359 
1576696420 172 2 0 0 87470144 385423 0 0 90 1 0 0 10284433 121648 0 0 771 2760652 1010108 3770760 3909628 11264 3920892 118 1 0 1 0 0 99 0 0 0 0 190 0 310 0 0 0 99 0 3 755956 3 759806 0 120552 0 0 0 100 0 0 0 0 254 0 380 0 0 3 97 0 0 0 0 3984 0 2359 
1576696421 180 2 0 0 87470324 385425 0 0 0 0 0 0 10284433 121648 0 0 567 2760652 1010108 3770760 3909628 11264 3920892 118 1 0 0 0 0 99 0 0 0 0 190 0 310 0 0 0 99 0 3 755959 3 759809 1 120553 0 0 0 100 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3984 0 2359 
1576696422 0 0 0 0 87470324 385425 0 0 0 0 0 0 10284433 121648 0 0 85 2760652 1010108 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 755959 0 759809 0 120553 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696423 244 3 0 0 87470568 385428 0 0 154 2 0 0 10284587 121650 0 0 1430 2760756 1010004 3770760 3909628 11264 3920892 118 1 0 0 0 1 99 0 0 0 0 190 0 310 1 0 1 99 0 6 755965 6 759815 0 120553 0 0 0 99 0 0 0 0 254 0 380 0 0 4 94 0 0 0 0 3984 0 2359 
1576696424 0 0 0 0 87470568 385428 0 0 0 0 0 0 10284587 121650 0 0 328 2760872 1009888 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 755965 0 759815 0 120553 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
