# gnuplot dump (#col:description)
# networking interface: enp0s25
# sampling interval (t): 1000 ms
# 1:unixtime 2:rx-bytes-per-t 3:rx-pkts-per-t 4:rx-drops-per-t 5:rx-errors-per-t 6:rx-bytes 7:rx-pkts 8:rx-drops 9:rx-errors 10:tx-bytes-per-t 11:tx-pkts-per-t 12:tx-drops-per-t 13:tx-errors-per-t 14:tx-bytes 15:tx-pkts 16:tx-drops 17:tx-errors 18:context-switches-per-t 19:mem-free 20:mem-used 21:mem-total 22:swap-free 23:swap-used 24:swap-total 25:procs-total 26:procs-in-run 27:procs-in-iow 28:cpu0-usr-per-t 29:cpu0-nice-per-t 30:cpu0-sys-per-t 31:cpu0-idle-per-t 32:cpu0-iow-per-t 33:cpu0-net-irqs-per-t 34:cpu0-net-irqs 35:cpu0-net-rx-soft-irqs-per-t 36:cpu0-net-rx-soft-irqs 37:cpu0-net-tx-soft-irqs-per-t 38:cpu0-net-tx-soft-irqs 39:cpu1-usr-per-t 40:cpu1-nice-per-t 41:cpu1-sys-per-t 42:cpu1-idle-per-t 43:cpu1-iow-per-t 44:cpu1-net-irqs-per-t 45:cpu1-net-irqs 46:cpu1-net-rx-soft-irqs-per-t 47:cpu1-net-rx-soft-irqs 48:cpu1-net-tx-soft-irqs-per-t 49:cpu1-net-tx-soft-irqs 50:cpu2-usr-per-t 51:cpu2-nice-per-t 52:cpu2-sys-per-t 53:cpu2-idle-per-t 54:cpu2-iow-per-t 55:cpu2-net-irqs-per-t 56:cpu2-net-irqs 57:cpu2-net-rx-soft-irqs-per-t 58:cpu2-net-rx-soft-irqs 59:cpu2-net-tx-soft-irqs-per-t 60:cpu2-net-tx-soft-irqs 61:cpu3-usr-per-t 62:cpu3-nice-per-t 63:cpu3-sys-per-t 64:cpu3-idle-per-t 65:cpu3-iow-per-t 66:cpu3-net-irqs-per-t 67:cpu3-net-irqs 68:cpu3-net-rx-soft-irqs-per-t 69:cpu3-net-rx-soft-irqs 70:cpu3-net-tx-soft-irqs-per-t 71:cpu3-net-tx-soft-irqs 
# data:
1576694954 172 2 0 0 87176678 382508 0 0 180 2 0 0 10251762 121263 0 0 402 2772800 997960 3770760 3909628 11264 3920892 113 1 0 0 0 0 100 0 0 0 0 187 0 309 0 0 1 100 0 5 752036 5 755874 0 120189 0 0 0 99 1 0 0 0 254 0 380 1 0 0 99 0 0 0 0 3974 0 2354 
1576694955 90 1 0 0 87176768 382509 0 0 0 0 0 0 10251762 121263 0 0 112 2772800 997960 3770760 3909628 11264 3920892 113 1 0 0 0 1 100 0 0 0 0 187 0 309 0 0 0 100 0 1 752037 1 755875 0 120189 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3974 0 2354 
1576694956 645 5 0 0 87177413 382514 0 0 676 6 0 0 10252438 121269 0 0 258 2772468 998292 3770760 3909628 11264 3920892 113 1 0 0 0 0 99 0 0 0 0 187 0 309 0 0 0 99 0 10 752047 10 755885 1 120190 1 0 0 100 0 0 0 0 254 0 380 0 0 1 100 0 0 0 0 3974 0 2354 
1576694957 1145 6 0 0 87178558 382520 0 0 232 2 0 0 10252670 121271 0 0 205 2772404 998356 3770760 3909628 11264 3920892 113 1 0 0 0 0 100 0 0 0 0 187 0 309 0 0 0 99 0 6 752053 6 755891 0 120190 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3974 0 2354 
1576694958 2187 18 0 0 87180745 382538 0 0 528 5 0 0 10253198 121276 0 0 396 2772340 998420 3770760 3909628 11264 3920892 112 1 0 0 0 1 100 0 0 0 0 187 0 309 0 0 0 100 0 21 752074 21 755912 0 120190 1 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3974 0 2354 
1576694959 244 3 0 0 87180989 382541 0 0 82 1 0 0 10253280 121277 0 0 130 2772308 998452 3770760 3909628 11264 3920892 112 1 1 0 0 0 100 0 0 0 0 187 0 309 0 0 0 100 0 4 752078 4 755916 0 120190 0 0 0 99 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3974 0 2354 
1576694960 0 0 0 0 87180989 382541 0 0 0 0 0 0 10253280 121277 0 0 239 2772308 998452 3770760 3909628 11264 3920892 112 1 0 0 0 0 100 0 0 0 0 187 0 309 0 0 0 100 0 1 752079 1 755917 0 120190 0 0 0 100 0 0 0 0 254 0 380 0 0 1 100 0 0 0 0 3974 0 2354 
1576694961 82 1 0 0 87181071 382542 0 0 90 1 0 0 10253370 121278 0 0 89 2772308 998452 3770760 3909628 11264 3920892 112 1 0 0 0 0 100 0 0 0 0 187 0 309 0 0 0 100 0 2 752081 2 755919 1 120191 0 0 1 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3974 0 2354 
1576694962 0 0 0 0 87181071 382542 0 0 0 0 0 0 10253370 121278 0 0 78 2772308 998452 3770760 3909628 11264 3920892 112 1 0 0 0 0 100 0 0 0 0 187 0 309 0 0 0 100 0 1 752082 1 755920 0 120191 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3974 0 2354 
1576694963 0 0 0 0 87181071 382542 0 0 0 0 0 0 10253370 121278 0 0 254 2772308 998452 3770760 3909628 11264 3920892 112 1 0 0 0 0 100 0 0 0 0 187 0 309 1 0 0 100 0 0 752082 0 755920 0 120191 0 0 0 99 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3974 0 2354 
