# gnuplot dump (#col:description)
# networking interface: enp0s25
# sampling interval (t): 1000 ms
# 1:unixtime 2:rx-bytes-per-t 3:rx-pkts-per-t 4:rx-drops-per-t 5:rx-errors-per-t 6:rx-bytes 7:rx-pkts 8:rx-drops 9:rx-errors 10:tx-bytes-per-t 11:tx-pkts-per-t 12:tx-drops-per-t 13:tx-errors-per-t 14:tx-bytes 15:tx-pkts 16:tx-drops 17:tx-errors 18:context-switches-per-t 19:mem-free 20:mem-used 21:mem-total 22:swap-free 23:swap-used 24:swap-total 25:procs-total 26:procs-in-run 27:procs-in-iow 28:cpu0-usr-per-t 29:cpu0-nice-per-t 30:cpu0-sys-per-t 31:cpu0-idle-per-t 32:cpu0-iow-per-t 33:cpu0-net-irqs-per-t 34:cpu0-net-irqs 35:cpu0-net-rx-soft-irqs-per-t 36:cpu0-net-rx-soft-irqs 37:cpu0-net-tx-soft-irqs-per-t 38:cpu0-net-tx-soft-irqs 39:cpu1-usr-per-t 40:cpu1-nice-per-t 41:cpu1-sys-per-t 42:cpu1-idle-per-t 43:cpu1-iow-per-t 44:cpu1-net-irqs-per-t 45:cpu1-net-irqs 46:cpu1-net-rx-soft-irqs-per-t 47:cpu1-net-rx-soft-irqs 48:cpu1-net-tx-soft-irqs-per-t 49:cpu1-net-tx-soft-irqs 50:cpu2-usr-per-t 51:cpu2-nice-per-t 52:cpu2-sys-per-t 53:cpu2-idle-per-t 54:cpu2-iow-per-t 55:cpu2-net-irqs-per-t 56:cpu2-net-irqs 57:cpu2-net-rx-soft-irqs-per-t 58:cpu2-net-rx-soft-irqs 59:cpu2-net-tx-soft-irqs-per-t 60:cpu2-net-tx-soft-irqs 61:cpu3-usr-per-t 62:cpu3-nice-per-t 63:cpu3-sys-per-t 64:cpu3-idle-per-t 65:cpu3-iow-per-t 66:cpu3-net-irqs-per-t 67:cpu3-net-irqs 68:cpu3-net-rx-soft-irqs-per-t 69:cpu3-net-rx-soft-irqs 70:cpu3-net-tx-soft-irqs-per-t 71:cpu3-net-tx-soft-irqs 
# data:
1576696545 268 3 0 0 87497516 385712 0 0 64 1 0 0 10287135 121681 0 0 388 2762968 1007792 3770760 3909628 11264 3920892 120 1 0 0 0 0 99 0 0 0 0 190 0 310 0 0 0 100 0 5 756338 5 760189 0 120589 0 0 0 99 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3985 0 2359 
1576696546 128 2 0 0 87497644 385714 0 0 0 0 0 0 10287135 121681 0 0 113 2762968 1007792 3770760 3909628 11264 3920892 120 1 0 0 0 1 99 0 0 0 0 190 0 310 0 0 1 100 0 2 756340 2 760191 0 120589 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3985 0 2359 
1576696547 495 4 0 0 87498139 385718 0 0 343 3 0 0 10287478 121684 0 0 508 2762432 1008328 3770760 3909628 11264 3920892 120 1 0 0 0 0 99 0 0 0 0 190 0 310 0 0 0 100 0 7 756347 7 760198 1 120590 1 0 0 99 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3985 0 2359 
1576696548 64 1 0 0 87498203 385719 0 0 0 0 0 0 10287478 121684 0 0 399 2762432 1008328 3770760 3909628 11264 3920892 120 2 0 0 0 0 99 0 0 0 0 190 0 310 0 0 0 100 0 1 756348 1 760199 0 120590 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3985 0 2359 
1576696549 0 0 0 0 87498203 385719 0 0 0 0 0 0 10287478 121684 0 0 666 2762432 1008328 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 1 99 0 1 756349 1 760200 0 120590 1 0 1 99 0 0 0 0 254 0 380 0 0 1 97 0 0 0 0 3985 0 2359 
1576696550 0 0 0 0 87498203 385719 0 0 0 0 0 0 10287478 121684 0 0 937 2762368 1008392 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 756349 0 760200 0 120590 0 0 0 99 1 0 0 0 254 0 380 0 0 0 97 0 0 0 0 3985 0 2359 
1576696551 0 0 0 0 87498203 385719 0 0 0 0 0 0 10287478 121684 0 0 353 2762400 1008360 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756350 1 760201 0 120590 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3985 0 2359 
1576696552 82 1 0 0 87498285 385720 0 0 90 1 0 0 10287568 121685 0 0 872 2762368 1008392 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 756352 2 760203 1 120591 0 0 0 99 0 0 0 0 254 0 380 0 0 2 96 0 0 0 0 3985 1 2360 
1576696553 0 0 0 0 87498285 385720 0 0 0 0 0 0 10287568 121685 0 0 106 2762368 1008392 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756353 1 760204 0 120591 0 0 0 99 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3985 0 2360 
1576696554 0 0 0 0 87498285 385720 0 0 0 0 0 0 10287568 121685 0 0 116 2762368 1008392 3770760 3909628 11264 3920892 120 1 0 0 0 1 100 0 0 0 0 190 0 310 0 0 0 99 0 0 756353 0 760204 0 120591 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3985 0 2360 
1576696555 0 0 0 0 87498285 385720 0 0 0 0 0 0 10287568 121685 0 0 384 2762368 1008392 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756354 1 760205 0 120591 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3985 0 2360 
1576696556 0 0 0 0 87498285 385720 0 0 0 0 0 0 10287568 121685 0 0 369 2762368 1008392 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 756354 0 760205 0 120591 0 0 0 100 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3985 0 2360 
1576696557 0 0 0 0 87498285 385720 0 0 0 0 0 0 10287568 121685 0 0 370 2762368 1008392 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 1 0 0 100 0 1 756355 1 760206 1 120592 0 0 0 100 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3985 0 2360 
1576696558 0 0 0 0 87498285 385720 0 0 0 0 0 0 10287568 121685 0 0 270 2762272 1008488 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 756355 0 760206 0 120592 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3985 0 2360 
1576696559 64 1 0 0 87498349 385721 0 0 0 0 0 0 10287568 121685 0 0 363 2762004 1008756 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 756357 2 760208 0 120592 0 0 0 100 0 0 0 0 254 0 380 0 0 2 99 0 0 0 0 3985 0 2360 
1576696560 0 0 0 0 87498349 385721 0 0 0 0 0 0 10287568 121685 0 0 367 2761980 1008780 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 99 0 0 756357 0 760208 0 120592 0 0 0 100 0 0 0 0 254 0 380 0 0 1 98 1 0 0 0 3985 0 2360 
1576696561 0 0 0 0 87498349 385721 0 0 0 0 0 0 10287568 121685 0 0 919 2761948 1008812 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756358 1 760209 0 120592 0 0 0 100 0 0 0 0 254 0 380 0 0 3 96 0 0 0 0 3985 0 2360 
1576696562 90 1 0 0 87498439 385722 0 0 0 0 0 0 10287568 121685 0 0 1038 2762108 1008652 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 99 0 1 756359 1 760210 1 120593 0 0 0 99 0 0 0 0 254 0 380 0 0 4 95 0 0 0 0 3985 0 2360 
1576696563 0 0 0 0 87498439 385722 0 0 0 0 0 0 10287568 121685 0 0 99 2762108 1008652 3770760 3909628 11264 3920892 119 1 0 0 0 0 99 0 0 0 0 190 0 310 0 0 0 100 0 1 756360 1 760211 0 120593 0 0 0 99 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3985 0 2360 
1576696564 90 1 0 0 87498529 385723 0 0 0 0 0 0 10287568 121685 0 0 159 2762308 1008452 3770760 3909628 11264 3920892 119 1 0 1 0 0 99 0 0 0 0 190 0 310 1 0 0 100 0 1 756361 1 760212 0 120593 0 0 0 99 0 0 0 0 254 0 380 0 0 1 100 0 0 0 0 3985 0 2360 
1576696565 0 0 0 0 87498529 385723 0 0 0 0 0 0 10287568 121685 0 0 882 2762360 1008400 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756362 1 760213 0 120593 0 0 0 99 0 0 0 0 254 0 380 0 0 1 96 0 0 0 0 3985 0 2360 
1576696566 90 1 0 0 87498619 385724 0 0 0 0 0 0 10287568 121685 0 0 376 2762360 1008400 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756363 1 760214 0 120593 0 0 0 100 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3985 0 2360 
1576696567 0 0 0 0 87498619 385724 0 0 0 0 0 0 10287568 121685 0 0 639 2762360 1008400 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756364 1 760215 1 120594 0 0 1 100 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3985 0 2360 
1576696568 244 3 0 0 87498863 385727 0 0 64 1 0 0 10287632 121686 0 0 374 2762328 1008432 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 4 756368 4 760219 0 120594 0 0 0 100 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3985 0 2360 
1576696569 0 0 0 0 87498863 385727 0 0 0 0 0 0 10287632 121686 0 0 364 2762352 1008408 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 99 0 1 756369 1 760220 0 120594 0 0 0 100 0 0 0 0 254 0 380 0 0 2 99 0 0 0 0 3985 0 2360 
1576696570 270 3 0 0 87499133 385730 0 0 90 1 0 0 10287722 121687 0 0 670 2762360 1008400 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 1 100 0 4 756373 4 760224 1 120595 0 0 1 100 0 0 0 0 254 0 380 0 0 1 97 0 0 0 0 3985 0 2360 
1576696571 0 0 0 0 87499133 385730 0 0 0 0 0 0 10287722 121687 0 0 155 2762232 1008528 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756374 1 760225 0 120595 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3985 0 2360 
1576696572 90 1 0 0 87499223 385731 0 0 0 0 0 0 10287722 121687 0 0 302 2762360 1008400 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756375 1 760226 1 120596 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3985 0 2360 
