# gnuplot dump (#col:description)
# networking interface: enp0s25
# sampling interval (t): 1000 ms
# 1:unixtime 2:rx-bytes-per-t 3:rx-pkts-per-t 4:rx-drops-per-t 5:rx-errors-per-t 6:rx-bytes 7:rx-pkts 8:rx-drops 9:rx-errors 10:tx-bytes-per-t 11:tx-pkts-per-t 12:tx-drops-per-t 13:tx-errors-per-t 14:tx-bytes 15:tx-pkts 16:tx-drops 17:tx-errors 18:context-switches-per-t 19:mem-free 20:mem-used 21:mem-total 22:swap-free 23:swap-used 24:swap-total 25:procs-total 26:procs-in-run 27:procs-in-iow 28:cpu0-usr-per-t 29:cpu0-nice-per-t 30:cpu0-sys-per-t 31:cpu0-idle-per-t 32:cpu0-iow-per-t 33:cpu0-net-irqs-per-t 34:cpu0-net-irqs 35:cpu0-net-rx-soft-irqs-per-t 36:cpu0-net-rx-soft-irqs 37:cpu0-net-tx-soft-irqs-per-t 38:cpu0-net-tx-soft-irqs 39:cpu1-usr-per-t 40:cpu1-nice-per-t 41:cpu1-sys-per-t 42:cpu1-idle-per-t 43:cpu1-iow-per-t 44:cpu1-net-irqs-per-t 45:cpu1-net-irqs 46:cpu1-net-rx-soft-irqs-per-t 47:cpu1-net-rx-soft-irqs 48:cpu1-net-tx-soft-irqs-per-t 49:cpu1-net-tx-soft-irqs 50:cpu2-usr-per-t 51:cpu2-nice-per-t 52:cpu2-sys-per-t 53:cpu2-idle-per-t 54:cpu2-iow-per-t 55:cpu2-net-irqs-per-t 56:cpu2-net-irqs 57:cpu2-net-rx-soft-irqs-per-t 58:cpu2-net-rx-soft-irqs 59:cpu2-net-tx-soft-irqs-per-t 60:cpu2-net-tx-soft-irqs 61:cpu3-usr-per-t 62:cpu3-nice-per-t 63:cpu3-sys-per-t 64:cpu3-idle-per-t 65:cpu3-iow-per-t 66:cpu3-net-irqs-per-t 67:cpu3-net-irqs 68:cpu3-net-rx-soft-irqs-per-t 69:cpu3-net-rx-soft-irqs 70:cpu3-net-tx-soft-irqs-per-t 71:cpu3-net-tx-soft-irqs 
# data:
1576696954 0 0 0 0 87850172 390527 0 0 0 0 0 0 10294341 121766 0 0 424 2759864 1010896 3770760 3909628 11264 3920892 121 1 0 0 0 0 100 0 0 0 0 190 0 311 0 0 0 100 0 0 761332 0 765185 0 120708 1 0 1 99 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3988 0 2362 
1576696955 495 4 0 0 87850667 390531 0 0 343 3 0 0 10294684 121769 0 0 605 2757372 1013388 3770760 3909628 11264 3920892 121 1 0 11 0 1 89 0 0 0 0 190 0 311 0 0 1 100 0 7 761339 7 765192 0 120708 0 0 0 99 0 0 0 0 254 0 380 1 0 1 98 0 0 0 0 3988 0 2362 
1576696956 0 0 0 0 87850667 390531 0 0 0 0 0 0 10294684 121769 0 0 603 2757564 1013196 3770760 3909628 11264 3920892 121 1 0 0 0 0 99 0 0 0 0 190 0 311 0 0 0 100 0 0 761339 0 765192 1 120709 0 0 0 99 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3988 0 2362 
1576696957 0 0 0 0 87850667 390531 0 0 0 0 0 0 10294684 121769 0 0 81 2757532 1013228 3770760 3909628 11264 3920892 121 2 0 0 0 0 100 0 0 0 0 190 0 311 0 0 0 100 0 1 761340 1 765193 0 120709 0 0 0 99 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3988 0 2362 
1576696958 0 0 0 0 87850667 390531 0 0 0 0 0 0 10294684 121769 0 0 107 2757732 1013028 3770760 3909628 11264 3920892 121 1 0 0 0 0 100 0 0 0 0 190 0 311 1 0 0 100 0 0 761340 0 765193 0 120709 0 0 0 99 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3988 0 2362 
1576696959 0 0 0 0 87850667 390531 0 0 0 0 0 0 10294684 121769 0 0 883 2757720 1013040 3770760 3909628 11264 3920892 121 1 1 0 0 0 100 0 0 0 0 190 0 311 0 0 0 100 0 1 761341 1 765194 0 120709 0 0 1 100 0 0 0 0 254 0 380 0 0 3 96 0 0 0 0 3988 0 2362 
1576696960 82 1 0 0 87850749 390532 0 0 90 1 0 0 10294774 121770 0 0 248 2757624 1013136 3770760 3909628 11264 3920892 121 1 0 0 0 0 100 0 0 0 0 190 0 311 0 0 0 100 0 2 761343 2 765196 0 120709 0 0 0 100 0 0 0 0 254 0 380 0 0 1 100 0 0 0 0 3988 0 2362 
1576696961 0 0 0 0 87850749 390532 0 0 0 0 0 0 10294774 121770 0 0 500 2756948 1013812 3770760 3909628 11264 3920892 122 1 0 0 0 0 99 0 0 0 0 190 0 311 0 0 0 100 0 1 761344 1 765197 1 120710 1 0 1 99 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3988 0 2362 
1576696962 0 0 0 0 87850749 390532 0 0 0 0 0 0 10294774 121770 0 0 639 2756884 1013876 3770760 3909628 11264 3920892 122 1 0 0 0 0 100 0 0 0 0 190 0 311 0 0 0 100 0 0 761344 0 765197 0 120710 0 0 0 100 0 0 0 0 254 0 380 0 0 1 97 0 0 0 0 3988 0 2362 
1576696963 0 0 0 0 87850749 390532 0 0 0 0 0 0 10294774 121770 0 0 761 2756940 1013820 3770760 3909628 11264 3920892 122 1 0 1 0 0 100 0 0 0 0 190 0 311 0 0 0 100 0 1 761345 1 765198 0 120710 0 0 0 100 0 0 0 0 254 0 380 0 0 3 96 0 0 0 0 3988 0 2362 
