# gnuplot dump (#col:description)
# networking interface: enp0s25
# sampling interval (t): 1000 ms
# 1:unixtime 2:rx-bytes-per-t 3:rx-pkts-per-t 4:rx-drops-per-t 5:rx-errors-per-t 6:rx-bytes 7:rx-pkts 8:rx-drops 9:rx-errors 10:tx-bytes-per-t 11:tx-pkts-per-t 12:tx-drops-per-t 13:tx-errors-per-t 14:tx-bytes 15:tx-pkts 16:tx-drops 17:tx-errors 18:context-switches-per-t 19:mem-free 20:mem-used 21:mem-total 22:swap-free 23:swap-used 24:swap-total 25:procs-total 26:procs-in-run 27:procs-in-iow 28:cpu0-usr-per-t 29:cpu0-nice-per-t 30:cpu0-sys-per-t 31:cpu0-idle-per-t 32:cpu0-iow-per-t 33:cpu0-net-irqs-per-t 34:cpu0-net-irqs 35:cpu0-net-rx-soft-irqs-per-t 36:cpu0-net-rx-soft-irqs 37:cpu0-net-tx-soft-irqs-per-t 38:cpu0-net-tx-soft-irqs 39:cpu1-usr-per-t 40:cpu1-nice-per-t 41:cpu1-sys-per-t 42:cpu1-idle-per-t 43:cpu1-iow-per-t 44:cpu1-net-irqs-per-t 45:cpu1-net-irqs 46:cpu1-net-rx-soft-irqs-per-t 47:cpu1-net-rx-soft-irqs 48:cpu1-net-tx-soft-irqs-per-t 49:cpu1-net-tx-soft-irqs 50:cpu2-usr-per-t 51:cpu2-nice-per-t 52:cpu2-sys-per-t 53:cpu2-idle-per-t 54:cpu2-iow-per-t 55:cpu2-net-irqs-per-t 56:cpu2-net-irqs 57:cpu2-net-rx-soft-irqs-per-t 58:cpu2-net-rx-soft-irqs 59:cpu2-net-tx-soft-irqs-per-t 60:cpu2-net-tx-soft-irqs 61:cpu3-usr-per-t 62:cpu3-nice-per-t 63:cpu3-sys-per-t 64:cpu3-idle-per-t 65:cpu3-iow-per-t 66:cpu3-net-irqs-per-t 67:cpu3-net-irqs 68:cpu3-net-rx-soft-irqs-per-t 69:cpu3-net-rx-soft-irqs 70:cpu3-net-tx-soft-irqs-per-t 71:cpu3-net-tx-soft-irqs 
# data:
1576696672 64 1 0 0 87811151 390051 0 0 0 0 0 0 10289142 121705 0 0 406 2762364 1008396 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 99 0 1 760662 1 764514 0 120646 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3986 0 2361 
1576696673 0 0 0 0 87811151 390051 0 0 0 0 0 0 10289142 121705 0 0 84 2762364 1008396 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 760663 1 764515 1 120647 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3986 0 2361 
1576696674 405 3 0 0 87811556 390054 0 0 343 3 0 0 10289485 121708 0 0 262 2762048 1008712 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 5 760668 5 764520 0 120647 1 0 1 99 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3986 0 2361 
1576696675 0 0 0 0 87811556 390054 0 0 0 0 0 0 10289485 121708 0 0 722 2761796 1008964 3770760 3909628 11264 3920892 119 2 0 1 0 0 99 0 0 0 0 190 0 310 0 0 0 100 0 1 760669 1 764521 0 120647 0 0 0 100 0 0 0 0 254 0 380 0 0 2 98 0 0 0 0 3986 0 2361 
1576696676 0 0 0 0 87811556 390054 0 0 0 0 0 0 10289485 121708 0 0 494 2761668 1009092 3770760 3909628 11264 3920892 119 1 0 0 0 0 99 0 0 0 0 190 0 310 0 0 1 100 0 0 760669 0 764521 0 120647 0 0 0 99 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3986 0 2361 
1576696677 0 0 0 0 87811556 390054 0 0 0 0 0 0 10289485 121708 0 0 702 2761796 1008964 3770760 3909628 11264 3920892 119 1 1 0 0 0 99 0 0 0 0 190 0 310 0 0 0 99 1 1 760670 1 764522 0 120647 0 0 0 99 0 0 0 0 254 0 380 0 0 2 97 0 0 0 0 3986 0 2361 
1576696678 0 0 0 0 87811556 390054 0 0 0 0 0 0 10289485 121708 0 0 300 2761604 1009156 3770760 3909628 11264 3920892 119 1 0 0 0 0 99 0 0 0 0 190 0 310 0 0 0 100 0 0 760670 0 764522 1 120648 0 0 0 101 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3986 0 2361 
1576696679 82 1 0 0 87811638 390055 0 0 90 1 0 0 10289575 121709 0 0 206 2761796 1008964 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 3 760673 3 764525 0 120648 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3986 0 2361 
1576696680 0 0 0 0 87811638 390055 0 0 0 0 0 0 10289575 121709 0 0 436 2761796 1008964 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 1 0 0 100 0 0 760673 0 764525 0 120648 0 0 0 100 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3986 0 2361 
1576696681 0 0 0 0 87811638 390055 0 0 0 0 0 0 10289575 121709 0 0 432 2761536 1009224 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 1 100 0 1 760674 1 764526 0 120648 0 0 0 100 0 0 0 0 254 0 380 0 0 3 99 0 0 0 0 3986 0 2361 
1576696682 90 1 0 0 87811728 390056 0 0 90 1 0 0 10289665 121710 0 0 464 2761608 1009152 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 98 0 2 760676 2 764528 0 120648 0 0 0 100 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3986 0 2361 
1576696683 64 1 0 0 87811792 390057 0 0 64 1 0 0 10289729 121711 0 0 1063 2761512 1009248 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 3 760679 3 764531 1 120649 0 0 0 99 0 0 0 0 254 0 380 0 0 2 95 0 0 0 0 3986 0 2361 
1576696684 90 1 0 0 87811882 390058 0 0 0 0 0 0 10289729 121711 0 0 280 2761320 1009440 3770760 3909628 11264 3920892 119 1 0 1 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 760680 1 764532 0 120649 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3986 0 2361 
1576696685 90 1 0 0 87811972 390059 0 0 0 0 0 0 10289729 121711 0 0 569 2761512 1009248 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 760682 2 764534 0 120649 0 0 0 99 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3986 0 2361 
1576696686 0 0 0 0 87811972 390059 0 0 0 0 0 0 10289729 121711 0 0 490 2761512 1009248 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 760682 0 764534 0 120649 0 0 0 99 0 0 0 0 254 0 380 0 0 2 98 0 0 0 0 3986 0 2361 
1576696687 64 1 0 0 87812036 390060 0 0 0 0 0 0 10289729 121711 0 0 822 2761384 1009376 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 99 1 2 760684 2 764536 0 120649 0 0 0 99 0 0 0 0 254 0 380 0 0 2 97 0 0 0 0 3986 0 2361 
1576696688 0 0 0 0 87812036 390060 0 0 0 0 0 0 10289729 121711 0 0 676 2761448 1009312 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 760684 0 764536 1 120650 0 0 0 100 0 0 0 0 254 0 380 0 0 1 97 0 0 0 0 3986 0 2361 
1576696689 244 3 0 0 87812280 390063 0 0 90 1 0 0 10289819 121712 0 0 707 2761448 1009312 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 1 100 0 5 760689 5 764541 0 120650 0 0 0 100 0 0 0 0 254 0 380 0 0 0 97 0 0 0 0 3986 0 2361 
1576696690 218 3 0 0 87812498 390066 0 0 64 1 0 0 10289883 121713 0 0 131 2761512 1009248 3770760 3909628 11264 3920892 119 1 0 0 0 1 100 0 0 0 0 190 0 310 0 0 0 100 0 4 760693 4 764545 0 120650 1 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3986 1 2362 
1576696691 90 1 0 0 87812588 390067 0 0 0 0 0 0 10289883 121713 0 0 460 2761512 1009248 3770760 3909628 11264 3920892 119 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 99 0 2 760695 2 764547 0 120650 0 0 0 100 0 0 0 0 254 0 380 0 0 2 98 0 0 0 0 3986 0 2362 
1576696692 180 2 0 0 87812768 390069 0 0 0 0 0 0 10289883 121713 0 0 866 2760944 1009816 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 1 0 1 98 0 2 760697 2 764549 0 120650 0 0 2 100 0 0 0 0 254 0 380 0 0 3 97 0 0 0 0 3986 0 2362 
1576696693 180 2 0 0 87812948 390071 0 0 0 0 0 0 10289883 121713 0 0 664 2761040 1009720 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 3 760700 3 764552 1 120651 0 0 0 100 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3986 0 2362 
1576696694 90 1 0 0 87813038 390072 0 0 0 0 0 0 10289883 121713 0 0 113 2760976 1009784 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 760701 1 764553 0 120651 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3986 0 2362 
1576696695 180 2 0 0 87813218 390074 0 0 0 0 0 0 10289883 121713 0 0 103 2760976 1009784 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 3 760704 3 764556 0 120651 0 0 1 100 0 0 0 0 254 0 380 0 0 1 100 0 0 0 0 3986 0 2362 
1576696696 90 1 0 0 87813308 390075 0 0 0 0 0 0 10289883 121713 0 0 453 2760716 1010044 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 1 100 0 1 760705 1 764557 0 120651 0 0 0 99 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3986 0 2362 
1576696697 0 0 0 0 87813308 390075 0 0 0 0 0 0 10289883 121713 0 0 114 2760724 1010036 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 98 1 1 760706 1 764558 0 120651 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3986 0 2362 
